sample	CHUG	LE17	RCA23	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	Depth	Latitude	Salinity	Temperature	Oxygen	NO3	NO2	NO2NO3	PO4	Si	Density	Fluorescence	ChlorophyllA	Carbon.total
ERR3586698	0.001017	0.010797	0.209765	0.003899	0.003184	0.057761	0.001622	0.000626	5	78.9564	33.613775	-0.160312	385.28075	2.099614	0.0015	0.441	0.056871	0.273079	26.994413	2.28495	0.417069	0.43265
ERR3586720	0.000433	0.006305	0.082358	0.001822	0.003713	0.012132	0.001247	0.000355	5	79.2233	34.264755	1.365705	369.289812	2.150477	0.001	0.3685	0.063634	0.523062	27.429195	2.134432	1.019477	0.21605
ERR3586700	0.000411	0.006289	0.085763	0.001779	0.003681	0.012393	0.001221	0.000346	5	79.2233	34.264755	1.365705	369.289812	2.150477	0.001	0.3685	0.063634	0.523062	27.429195	2.134432	1.019477	0.21605
ERR3586737	0.000474	0.002242	0.036179	0.002734	0.003981	0.015231	0.000456	0.000481	5	74.2987	30.70185	-1.32986	368.52475	3.75923	0.0775	1.328	0.526245	2.062045	24.678167	3.00669	0.79676	0.3843
ERR3586719	0.000434	0.005055	0.058007	0.004671	0.002283	0.011835	0.001151	0.000284	35	78.9354	34.4561	-1.29785	348.000625	4.427788	0.026	1.709	0.209065	0.231772	27.72345	3.166069	2.003142	1.3839
ERR3586699	0.00042	0.005089	0.060586	0.004747	0.00241	0.011797	0.001193	0.000295	35	78.9354	34.4561	-1.29785	348.000625	4.427788	0.026	1.709	0.209065	0.231772	27.72345	3.166069	2.003142	1.3839
ERR3586702	0.000881	0.004335	0.062818	0.00155	0.001149	0.009452	0.000591	0.000257		79.3349	34.691775	1.025705	314.71675		0.0475	2.5925	0.35669	1.74362	27.839725	2.380822	0.514823	0.0912
ERR3586740	0.000905	0.004425	0.063472	0.001625	0.001007	0.009709	0.00063	0.000292		79.3349	34.691775	1.025705	314.71675		0.0475	2.5925	0.35669	1.74362	27.839725	2.380822	0.514823	0.0912
ERR3586703	0.000515	0.005514	0.086796	0.006516	0.015983	0.033482	0.001389	0.000976	5	77.1604	34.142392	1.325833	348.196667		0.008333	0.278	0.047034	0.244154	27.333308	2.15788	0.119264	0.023975
ERR3586721	0.00049	0.005458	0.085983	0.00659	0.015915	0.03314	0.001276	0.000878	5	77.1604	34.142392	1.325833	348.196667		0.008333	0.278	0.047034	0.244154	27.333308	2.15788	0.119264	0.023975
ERR3586697	0.001899	0.002782	0.044408	0.001556	0.000357	0.234658	0.001608	0.000124		72.5199	34.978285	3.1072	303.31905	0	0	0.821	0.098435	1.459545	27.85433	2.699	0.321278	0.11945
ERR3586679	0.000294	0.00364	0.050794	0.000686	0.000728	0.042173	0.000696	0.000152	5	77.9028	28.82053	0.10149	363.6485						23.11621	5.496034	0.815481	
ERR3586726	0.000326	0.003576	0.049714	0.000659	0.000675	0.041885	0.000657	0.00017	5	77.9028	28.82053	0.10149	363.6485						23.11621	5.496034	0.815481	
ERR3586718	0.000857	0.002079	0.021473	0.002857	0.000403	0.173146	0.003021	0.000166	40	72.5432	34.975345	3.824545	326.3609	0	0.063	0.821	0.098435	1.135333	27.784685	2.454789	1.1063	0.1971
ERR3586687	0.000507	0.003917	0.047524	0.004045	0.005736	0.10092	0.001113	0.00068	5	72.4693	31.99537	-0.479225	353.1935	3.880872	0.0895	0.411	0.560568	0.298067	25.7008	3.112706	1.1319	0.8194
ERR3586696	0.000835	0.002112	0.022369	0.002933	0.000454	0.171904	0.002971	0.000157	40	72.5432	34.975345	3.824545	326.3609	0	0.063	0.821	0.098435	1.135333	27.784685	2.454789	1.1063	0.1971
ERR3586746	0.000453	0.003791	0.046779	0.004193	0.005875	0.100142	0.00126	0.000879	5	72.4693	31.99537	-0.479225	353.1935	3.880872	0.0895	0.411	0.560568	0.298067	25.7008	3.112706	1.1319	0.8194
ERR3586717	0.000329	0.00097	0.013454	0.001081	0.002281	0.003956	0.000364	0.000168	5	76.1825	34.888656	1.899612	363.000813	4.980653	0.101	2.7725	0.290483	4.18531	27.890469	2.258868	2.780097	
ERR3586712	0.000288	0.000927	0.013267	0.001187	0.002202	0.003774	0.000322	0.000163	5	76.1825	34.888656	1.899612	363.000813	4.980653	0.101	2.7725	0.290483	4.18531	27.890469	2.258868	2.780097	
ERR3586695	0.001027	0.000927	0.006824	0.001112	0.000231	0.284057	0.000723	0.000072	5	72.5128	34.92331	7.48766	299.0073	0	0	0.0595	0	1.725127	27.289205	2.102862	0.825342	0.217
ERR3586727	0.000216	0.001784	0.030689	0.000435	0.000414	0.013158	0.00074	0.000091	20	77.9668	32.726735	-0.607125	371.05845						26.29815	4.162668	0.892787	
ERR3586680	0.00022	0.001791	0.031262	0.000389	0.000363	0.012749	0.000738	0.000078	20	77.9668	32.726735	-0.607125	371.05845						26.29815	4.162668	0.892787	
ERR3586707	0.000513	0.001929	0.045113	0.0009	0.000935	0.007497	0.000433	0.000222	17	78.3555	33.436706	-1.647244	373.061		0.124	1.227	0.307592	0.851791	26.906337	2.982844	1.375654	1.7308
ERR3586725	0.00051	0.001983	0.044067	0.000948	0.000976	0.007835	0.000391	0.000237	17	78.3555	33.436706	-1.647244	373.061		0.124	1.227	0.307592	0.851791	26.906337	2.982844	1.375654	1.7308
ERR3586715	0.000578	0.001806	0.022771	0.000358	0.000295	0.522163	0.002084	0.000146	5	67.141	35.145165	8.47447	311.7827	5.218798	0.13475	5.1155	0.356899	4.012069	27.314165	1.888199	1.174328	0.1674
ERR3586728	0.000497	0.003268	0.039222	0.000687	0.000551	0.015121	0.000803	0.000116	5	71.8895	28.60925	2.5694	336.04075	1.604622	0.0865	0.4235	0.430504	2.822912	22.8182	4.533623	0.485962	0.22775
ERR3586710	0.000443	0.001725	0.022905	0.000499	0.000261	0.515554	0.002235	0.000129	5	67.141	35.145165	8.47447	311.7827	5.218798	0.13475	5.1155	0.356899	4.012069	27.314165	1.888199	1.174328	0.1674
ERR3586685	0.000434	0.003221	0.041284	0.000639	0.000515	0.015043	0.000825	0.000134	5	71.8895	28.60925	2.5694	336.04075	1.604622	0.0865	0.4235	0.430504	2.822912	22.8182	4.533623	0.485962	0.22775
ERR3586729	0.0004	0.00184	0.025274	0.000912	0.000511	0.025739	0.001402	0.000083	5	70.9574	32.08329	1.445315	328.54665	3.615087	0.128	1.24175	0.220883	1.04231	25.673125	2.515363	0.771475	0.1842
ERR3586688	0.000454	0.001909	0.026597	0.000775	0.000477	0.025543	0.001371	0.00008	5	70.9574	32.08329	1.445315	328.54665	3.615087	0.128	1.24175	0.220883	1.04231	25.673125	2.515363	0.771475	0.1842
ERR3586716	0.000457	0.000411	0.004292	0.0002	0.000143	0.043424	0.000423	0.00005	25	67.161	35.15072	6.73489	304.0473	8.063879	0.309	11.784	0.709183	4.95809	27.572895	1.946281	0.764172	0.0482
ERR3586711	0.000396	0.000367	0.004229	0.000181	0.000137	0.043201	0.00037	0.000039	25	67.161	35.15072	6.73489	304.0473	8.063879	0.309	11.784	0.709183	4.95809	27.572895	1.946281	0.764172	0.0482
ERR3586691	0.000391	0.001056	0.016516	0.000821	0.000314	0.014107	0.001789	0.000154	5	61.5427	34.212769	5.295265	293.84675	8.286479	0.31575	5.8035	0.511975	2.252584	27.017281	2.274721	0.613636	0.1275
ERR3586734	0.000339	0.001179	0.016964	0.00084	0.000353	0.014424	0.001938	0.000177	5	61.5427	34.212769	5.295265	293.84675	8.286479	0.31575	5.8035	0.511975	2.252584	27.017281	2.274721	0.613636	0.1275
ERR3586689	0.000309	0.001375	0.015875	0.000423	0.000655	0.029184	0.000488	0.000081	5	64.7127	32.603119	2.496125	323.901563	6.131005					26.011175	2.723684	0.825917	
ERR3586730	0.000263	0.001247	0.01575	0.000446	0.000661	0.029445	0.000451	0.000105	5	64.7127	32.603119	2.496125	323.901563	6.131005					26.011175	2.723684	0.825917	
ERR3587106	0.151879	0.000001	0.000054	0.000209	0.000131	0.000316	0.00012	0.000213	5	31.6948	36.596745	20.481195	213.6889	1.009924	0.093	0.1505	0.0015	0.728	25.85157	1.674064	0.120903	
ERR3587029	0.055837	0.000048	0.000394	0.00053	0.000234	0.000499	0.000225	0.00029	590	39.2392	34.963392	5.004169	232.660562	19.964889					27.649883	2.860482	0	
ERR3587179	0.090507	0.000005	0.000063	0.00024	0.000089	0.00011	0.000056	0.000179	5	33.061	36.57475	20.150733	213.352167	0.676878	0.218	0.4035	0.001	0.797	25.923533	1.712959	0.1004	
ERR3586931	0.083559	0.000033	0.000179	0.002509	0.000098	0.000292	0.000107	0.01222	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586927	0.078145	0.000029	0.000192	0.00289	0.000105	0.000317	0.000139	0.011261	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586930	0.076083	0.000018	0.000228	0.00256	0.00012	0.000348	0.00012	0.011851	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586933	0.075333	0.00003	0.000182	0.002575	0.000147	0.000353	0.000138	0.011988	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586928	0.074911	0.000035	0.000204	0.002597	0.000114	0.000289	0.000134	0.011965	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586932	0.074102	0.000033	0.000201	0.002703	0.000126	0.000358	0.000129	0.012056	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586934	0.074185	0.000022	0.000232	0.002573	0.000142	0.000371	0.00012	0.011477	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3586929	0.071639	0.000027	0.000232	0.00275	0.000122	0.000344	0.000113	0.011708	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR3587108	0.066327	0.000007	0.000041	0.000096	0.000046	0.000196	0.000054	0.000104	5	34.1132	36.41274	18.82554	220.9492	0.808032					26.146925	1.734471	0.156401	
ERR3587117	0.063151	0.000008	0.000056	0.00018	0.000154	0.000096	0.000049	0.000175	5	33.061	36.57475	20.150733	213.352167	0.676878	0.218	0.4035	0.001	0.797	25.923533	1.712959	0.1004	
ERR1328125	0.056654	0.000016	0.000217	0.000298	0.000054	0.000306	0.000207	0.00055	5	36.1715	36.229605	17.303005	232.28725	0.296016	0.019		0.0125	0.6545	26.38564	1.76176	0.111686	
ERR3587181	0.053324	0.000002	0.000056	0.000091	0.00005	0.000174	0.000054	0.000094	5	34.1132	36.41274	18.82554	220.9492	0.808032					26.146925	1.734471	0.156401	
ERR3587154	0.05289	0.00001	0.000092	0.000366	0.000281	0.000486	0.000331	0.000379	5	39.2305	35.12152	13.993715	236.78925	5.013141	0.093	3.7925	0.33275	2.41425	26.282555	2.515102	0.169817	0.10205
ERR3587180	0.04811	0.000048	0.00027	0.000309	0.000028	0.000204	0.000041	0.000048	250	34.1504	36.565812	18.129194	192.246187	3.578039	0.0305	4.1285	0.179	1.6225	26.450856	2.077387	0	
ERR3586923	0.04109	0.000087	0.000219	0.01484	0.000516	0.000416	0.000428	0.145295	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586919	0.039088	0.000106	0.000195	0.014623	0.000444	0.000436	0.000443	0.144223	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586924	0.038353	0.000091	0.000247	0.014682	0.000437	0.0004	0.000436	0.145087	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586925	0.038269	0.000083	0.000204	0.014902	0.000459	0.000435	0.000382	0.145356	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586920	0.038119	0.000083	0.000224	0.014476	0.000485	0.000387	0.000412	0.144629	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586922	0.037852	0.000095	0.000201	0.01487	0.000497	0.000395	0.000419	0.144132	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586926	0.037662	0.000067	0.000205	0.014756	0.000528	0.000414	0.000407	0.140915	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586921	0.03615	0.000095	0.000207	0.014601	0.000484	0.000438	0.000444	0.144219	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR3586775	0.022861	0.000126	0.001673	0.000646	0.000465	0.000892	0.00032	0.000802	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR3587167	0.033771	0.000001	0.000047	0.000178	0.000118	0.000337	0.00011	0.000155	5	31.6948	36.596745	20.481195	213.6889	1.009924	0.093	0.1505	0.0015	0.728	25.85157	1.674064	0.120903	
ERR3587025	0.022709	0.000094	0.00157	0.00062	0.00053	0.000967	0.000299	0.000922	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR3586773	0.022394	0.000124	0.001643	0.000665	0.000486	0.000826	0.00034	0.000833	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR3586772	0.022449	0.000098	0.001654	0.000588	0.000496	0.00087	0.000365	0.000816	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR3586774	0.022214	0.000103	0.001759	0.000642	0.00043	0.000857	0.000324	0.000788	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR3587031	0.025176	0.000074	0.001003	0.002934	0.000066	0.000545	0.00314	0.002667	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR3587162	0.025031	0.000099	0.000416	0.000174	0.000046	0.000625	0.000057	0.000111	740	34.0771	35.369805	10.496305	152.7195	20.172519	0.00725	20.924	1.34475		27.170345	2.634028	0.00482	
ERR3586784	0.02464	0.000095	0.000425	0.00079	0.000103	0.000347	0.001266	0.001088	100	44.0342	35.83324	13.410555	244.0327	4.355658	0.23	3.642	0.249	1.626	26.956965	1.971397	0.050697	
ERR3586832	0.021919	0.00007	0.000958	0.00317	0.000055	0.000505	0.002789	0.002343	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR3586865	0.015778	0.000021	0.000369	0.001627	0.000165	0.000726	0.00006	0.000777	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586864	0.015653	0.000029	0.000334	0.001693	0.0002	0.000658	0.000078	0.000856	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586829	0.021067	0.000085	0.000965	0.002951	0.000063	0.000517	0.00292	0.002375	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR3587026	0.015775	0.00002	0.000373	0.001457	0.000159	0.000637	0.000062	0.000817	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586863	0.015813	0.000023	0.000335	0.001628	0.000241	0.000662	0.000065	0.000788	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586831	0.020555	0.000081	0.001018	0.003061	0.000057	0.000482	0.002761	0.002198	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR3586860	0.015533	0.000017	0.000318	0.001683	0.000239	0.000643	0.00006	0.000923	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586862	0.015503	0.000023	0.000375	0.001595	0.000214	0.000645	0.000077	0.000848	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586830	0.020505	0.000061	0.000923	0.003275	0.000078	0.000559	0.002935	0.002231	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR3586861	0.015375	0.000027	0.000316	0.001733	0.000213	0.000614	0.000078	0.000915	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586858	0.015197	0.000039	0.000375	0.001679	0.00021	0.000653	0.000088	0.000882	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3586859	0.01502	0.000027	0.000337	0.001747	0.00018	0.000623	0.000083	0.000854	5	29.6394	36.21913	24.812165	194.6794	0.492301	0.018	0.061	0.0065	1.256	24.32047	1.716812	0.09842	0.0099
ERR3587028	0.014132	0.000006	0.000257	0.002387	0.000519	0.000395	0.000205	0.001111	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR1328122	0.021011	0.000009	0.000217	0.000229	0.000052	0.000288	0.000213	0.000501	5	36.1715	36.229605	17.303005	232.28725	0.296016	0.019		0.0125	0.6545	26.38564	1.76176	0.111686	
ERR3586873	0.013506	0.000007	0.000351	0.002846	0.000596	0.000353	0.000216	0.001071	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586870	0.01348	0.000012	0.00036	0.002671	0.000513	0.000412	0.000182	0.001062	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586867	0.013138	0.000002	0.000342	0.002657	0.000582	0.000365	0.000212	0.001089	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586872	0.013199	0.000016	0.000317	0.002872	0.000587	0.00042	0.00015	0.001015	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586868	0.01331	0.000005	0.000346	0.002735	0.000509	0.0004	0.000194	0.001123	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586869	0.013301	0.000005	0.000308	0.002789	0.000553	0.000421	0.000164	0.001008	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586871	0.013358	0.000005	0.000318	0.002697	0.000516	0.000412	0.000224	0.001133	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586866	0.012953	0.000005	0.000332	0.002821	0.000619	0.000385	0.000201	0.001219	5	36.3698	36.39483	22.939295	199.80685	1.037244	0.01375		0	1.14325	25.00969	1.830372	0.132109	0.01065
ERR3586771	0.016864	0.00005	0.000551	0.001615	0.000191	0.000907	0.000101	0.000489	125	25.6168	36.17927	24.961605	193.38225	0	0.0175	0.0615		1.168	24.25287	1.681699	0.114913	0.0189
ERR3586768	0.016819	0.000031	0.000515	0.001547	0.000242	0.000901	0.000122	0.000496	125	25.6168	36.17927	24.961605	193.38225	0	0.0175	0.0615		1.168	24.25287	1.681699	0.114913	0.0189
ERR3587027	0.017178	0.000027	0.000519	0.00237	0.000086	0.000332	0.000097	0.00054	40	29.851	36.22118	24.82846	194.382	0.580043	0.0415	0.0565	0.001	1.23	24.319345	1.698639	0.096165	0.0112
