sample	CHUG	LE17	RCA23	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	depth	latitude	salinity	temperature	oxygen	nitrate	nitrite	nitrate/nitrite	phosphate	silicate	Density	fCDOM	Chlorophyll a	TC
ERR598974	0.000588425	0.000193874	0.001972755	0.000302716	0.000333328	0.000884339	1.88E-03	3.60E-02	17	20.8222	36.535819	25.329231	206.568833	1.457658	0.277	1.115	0.431	1.4395	24.403813	1.606875	0.24107	0.03175
ERR598975	0.000568902	5.23E-05	1.12E-03	0.000156884	0.000247211	0.000511854	1.25E-04	9.19E-05	60	18.4417	38.895025	27.558763	175.509	0	0.269	0.635	0.0885	1.3525	25.47435	1.42	0.14795	0.0312
ERR598976	0.000407773	8.58E-05	1.99E-03	0.000293459	0.000350773	0.000856261	6.56E-04	6.87E-04	5	36.1715	36.229605	17.303005	232.28725	0.296016	0.019		0.0125	0.6545	26.38564	1.76176	0.111686	
ERR598977	0.000362825	5.96E-05	1.36E-03	0.000141382	0.000277655	0.000626852	2.64E-04	3.65E-04	60	14.5536	36.503531	27.374181	164.440063	0	0.2375	7.847	0.846	3.5765	23.734719	1.377813	0.166581	0.01485
ERR598978	0.000597947	0.000102231	0.002396377	0.00049196	0.000276649	0.00082202	1.24E-03	1.30E-03	5	5.2529	34.764535	24.958885	204.421	13.010708	0.3285	12.8225	1.02575	5.04425	23.176695	2.076027	0.264409	0.00655
ERR598979	0.000386347	7.08E-05	1.70E-03	0.000229261	0.00040899	0.000826471	3.57E-04	1.10E-03	5	35.1728	35.449638	21.76357	207.5812						24.629613	1.197	0.176479	
ERR598980	0.00050812	4.98E-05	1.12E-03	0.000199926	0.000183908	0.000532443	1.09E-04	5.22E-05	550	31.528	33.991383	6.634392	131.979417	28.302949					26.6805	3.06763	0	0
ERR598981	0.0003867	6.20E-05	1.46E-03	0.000277631	0.000265237	0.000520558	5.21E-05	8.18E-05	177	12.9794	34.82775	12.806365	3.4942	20.254424	0.131	23.251	2.68675	20.9015	26.3033	3.186315	0.019279	0
ERR598982	0.000634053	0.000115282	0.002003031	0.000328234	0.000323431	0.001790079	2.44E-03	6.28E-04	30	34.8901	35.32305	15.014	239.791063	2.739389	0.284	3.309875	0.34975	2.5895	26.21755	1.2525	0.221666	0.0296
ERR598983	0.000349007	0.001050649	0.006086838	0.000382984	0.000296887	0.004103305	2.48E-02	3.37E-04	5	39.2305	35.12152	13.993715	236.78925	5.013141	0.093	3.7925	0.33275	2.41425	26.282555	2.515102	0.169817	0.10205
ERR598984	0.000294242	5.13E-05	1.22E-03	0.000254666	0.000224725	0.000575406	2.61E-04	2.69E-04	5	8.7789	36.41678	25.064425	199.135	0.416799	0.003	0.018	0.104	0.868	24.393095	1.77348	0.104143	0.0018
ERR598985	0.013666411	4.23E-05	1.45E-03	0.000373023	0.000188416	0.000581874	9.11E-05	7.03E-05	640	25.6236	35.165212	9.735075	108.231313	31.001404	0		1.2175	8.624	27.13905	2.638681	0	0
ERR598986	0.000546801	9.42E-05	1.84E-03	0.000240877	0.000317443	0.000827317	5.54E-04	4.99E-04	80	36.1811	36.182395	16.74703	228.11655	1.005795	0.0415	0.142	0.022	0.6335	26.48531	1.900875	0.16463	
ERR598987	0.00039621	7.55E-05	1.25E-03	0.000256781	0.00032301	0.000433391	5.69E-05	1.71E-04	40	14.2075	34.366025	20.58574	123.201	7.312792	0.3055	6.0475	0.884	4.661	24.14088	2.394612	0.366719	0.0228
ERR598988	0.00058525	7.58E-05	1.93E-03	0.000300786	0.000377731	0.000875544	6.40E-04	3.07E-03	120	9.0714	35.907345	24.81397	172.42475	4.148328	0.3535	1.19925	0.4885	1.469	24.092785	1.908626	0.077051	0.00185
ERR598989	0.000495591	0.000105404	0.002250638	0.000299069	0.000341612	0.000789263	7.78E-04	9.26E-04	5	14.2035	33.84798	26.478605	195.77195	3.740793	0.067	2.444	0.456	2.538	22.01524	1.755806	0.251665	0.0081
ERR598990	0.000799088	8.29E-05	2.14E-03	0.000298492	0.000556563	0.001098616	4.80E-04	1.85E-03	30	35.2421	35.451512	21.72823	207.48285						24.64465	1.20625	0.177651	
ERR598991	0.000603012	0.00017502	0.001923018	0.000315478	0.00039637	0.000893487	5.67E-04	1.13E-03	5	18.3967	38.64	27.635025	183.84625	0	0.011	0.029	0.144	2.6405	25.2559	1.35125	0.137257	0.0332
ERR598992	0.000527297	8.90E-05	2.22E-03	0.0002559	0.000423586	0.000820947	6.59E-04	7.20E-04	5	8.9971	35.37032	26.60467	187.07695	5.660372	0.11925	5.456	0.56795	2.1905	23.122935	1.574452	0.177137	0.0041
ERR598993	0.000542543	0.000222865	0.002127288	0.000325201	0.000373932	0.000997694	4.23E-02	3.72E-04	5	35.759	37.89575	21.48665	208.245		0.01833	0.118	0.0256	0.5571	26.565263	1.091875	0.013344	0.0103
ERR598994	0.001157651	0.042442008	0.12899803	0.026565044	0.002350726	1.511189413	1.45E+00	0.001034376	5	32.2401	34.870735	13.04322	252.63145	1.264607					26.28407	4.093218	0.765222	2.1997
ERR598995	0.000283607	4.71E-05	9.98E-04	0.000129914	0.00021477	0.000460079	1.45E-04	1.37E-04	115	31.5168	34.39568	15.321075	222.94125	0	0.017	0.047	0.1252	4.4468	25.4389	1.910665	0.158691	0.0099
ERR598996	0.000394584	0.000101945	0.001821156	0.000265915	0.00041174	0.000758155	3.71E-04	4.36E-04	40	35.8427	36.285033	17.585567	229.097917	0.61356	0.04	0.1745	0	0.8423	26.360683	1.79022	0.21402	
ERR598997	0.000752114	0.000108027	0.002666029	0.000434147	0.00043007	0.001008933	1.13E-03	1.56E-03	5	1.9928	33.472445	27.497475	199.6911	1.673601	0.0455	0.8935	0.2865	1.7085	21.408655	1.900753	0.272009	0.004
ERR598998	0.000512803	6.47E-05	1.62E-03	0.000191702	0.000373819	0.000715289	1.22E-04	5.30E-04	150	8.9109	35.877315	21.97372	158.18405	5.004597	1.46875	5.44175	0.6607	1.18375	24.895825	1.955839	0	0.000925
ERR598999	0.001009581	4.62E-05	1.21E-03	0.000245909	0.00021094	0.000423009	2.00E-04	1.87E-04	600	8.9729	34.5789	7.133995	40.6107	41.697487					27.07634	3.112808	0	
ERR599000	0.001190141	3.73E-05	1.04E-03	0.000257584	0.000163601	0.000431311	8.45E-05	6.93E-05	800	20.9315	34.369569	4.664275	191.413187	33.940795					27.220344	2.821232	0	0
ERR599001	0.000533743	0.000145456	0.002173982	0.000898442	0.000394637	0.001028173	2.59E-03	5.75E-04	25	43.7056	35.992515	14.29128	241.1573	3.283695	0.3195	2.2565	0.167	1.255	26.89311	1.948381	0.119381	
ERR599002	0.00047826	7.35E-05	1.98E-03	0.000263868	0.000404047	0.000849683	4.11E-04	5.98E-04	75	16.9534	34.896833	25.212642	194.81775	0.532471	0.032	0.4675	0.159	2.824	23.203642	1.180417	0.228414	0.0091
ERR599003	0.001030943	0.00070149	0.003092829	0.000389965	0.000407895	0.001219202	2.88E-01	8.67E-04	9	36.5533	36.599199	20.238088							25.909909		0.180403	
ERR599004	0.0005073	6.05E-05	9.84E-04	0.000235251	0.00015771	0.000410046	6.57E-05	1.43E-04	450	6.3559	34.608919	8.149894	1.013313	36.753654	0.0078	36.219	3.155	52.9225	26.951444	3.439414	0	0.0018
ERR599005	0.000511743	6.76E-05	1.32E-03	0.000216041	0.000259377	0.00059013	1.91E-04	1.83E-04	800	8.7986	34.476312	4.641719	143.273625	37.560305	0.007	36.98	2.618	34.44	27.30785	3.226745	0	0
ERR599006	0.000400343	6.80E-05	1.69E-03	0.000292864	0.000342469	0.000905302	7.84E-04	4.83E-04	5	30.1367	36.32553	20.07775	221.13845	0.025333	0	0.026	0	0.749	25.754115	1.674628	0.066207	0.0054
ERR599007	0.000444983	0.000216734	0.002110997	0.000797844	0.000262795	0.001014578	2.29E-03	9.59E-04	40	5.2669	34.884385	19.781235	104.9968	18.72477	1.202	24.3645	1.8615	10.5045	24.729155	2.896974	0.365239	0.018
ERR599008	0.005867096	3.45E-05	1.29E-03	0.000175058	0.000190215	0.000471368	7.35E-05	4.21E-05	790	61.9689	34.6802	0.456763	203.7715	38.920763	0.018	36.37	2.614	83.35	27.8267	3.420786	0	
ERR599009	0.000742437	0.00476042	0.029199842	0.006942157	0.001600283	1.994387497	3.01E-03	4.28E-04	5	47.1863	34.05025	7.579417	303.147667	18.434187	0.146	18.005	1.302	1.945	26.589567	2.128396	0.426587	
ERR599010	0.000432586	7.37E-05	1.13E-03	0.000228177	0.000268584	0.000499138	1.67E-03	3.21E-04	5	20.9354	37.076575	23.374825	206.23185	0.185971	0.001404	0	0.055883	0.814172	25.40018	1.636802	0.055113	0.0019
ERR599011	0.000445093	7.51E-05	1.81E-03	0.000265311	0.000425893	0.000876223	3.54E-04	5.97E-04	5	14.6059	36.0499	29.151544	187.306625	0	0.007	0.057	0.1565	1.3865	22.799819	0.965625	0.092377	0.001
ERR599012	0.000323179	5.98E-05	1.82E-03	0.000224208	0.000352109	0.000688991	2.97E-04	4.96E-03	5	22.3368												
ERR599013	0.000281677	5.83E-05	1.27E-03	0.000130779	0.00025351	0.000597559	1.97E-04	2.49E-04	80	5.9998	35.044342	27.9561	137.998083	0	0.152	0.741	0.2505	2.7335	22.474092	1.42	0.228999	0.0036
ERR599014	0.000496599	7.94E-05	1.96E-03	0.000238044	0.000309977	0.000725976	8.92E-04	9.77E-04	50	1.9002	35.112815	22.039785	145.0818	10.202445	0.414	10.701	0.9295	5.407	24.318245	2.184041	0.282031	0.0291
ERR599015	0.000497629	6.58E-05	1.07E-03	0.000214226	0.000219805	0.000423989	6.36E-05	1.84E-04	375	14.2025	34.5882	8.887131	0.832313	35.049476	0.0093	34.551	2.9545	46.6245	26.820475	3.389521	0	0
ERR599016	0.000563152	7.49E-05	2.14E-03	0.000280796	0.000452394	0.000886068	4.07E-04	6.05E-04	75	16.9534	34.896833	25.212642	194.81775	0.532471	0.032	0.4675	0.159	2.824	23.203642	1.180417	0.228414	0.0091
ERR599017	0.000319835	6.42E-05	1.45E-03	0.000305106	0.000288272	0.000846931	5.69E-04	2.77E-04	50	31.027	35.68407	16.74878	231.9774	0.904785	0.285	1.08	0.227	2.436	26.101325	2.011787	0.325714	0.0183
ERR599018	0.00082159	0.000112139	0.002137506	0.00034786	0.000551541	0.001045868	5.52E-04	1.95E-03	30	35.2421	35.451512	21.72823	207.48285						24.64465	1.20625	0.177651	
ERR599019	0.000515252	6.66E-05	2.20E-03	0.000290925	0.000585355	0.001163699	4.10E-04	4.40E-04	5	9.3921	34.184183	29.818108	187.35	0	0.0055	0.07475	0.0825	2.22425	21.176983	0.84	0.077086	7.00E-04
ERR599020	0.0011277	5.97E-05	1.52E-03	0.000466867	0.000247507	0.000529279	4.09E-04	4.79E-04	380	1.8902	34.747805	10.082375	2.43975	26.734022					26.748625	3.401892	0.007712	
ERR599021	0.001581213	3.99E-05	1.19E-03	0.0002049	0.000170106	0.000452327	5.41E-05	4.90E-05	1000	29.5046	34.572658	7.552017	190.888667						27.0189	1.5975	0	
ERR599022	0.000464155	7.66E-05	1.72E-03	0.000266144	0.000344923	0.000843145	9.50E-04	5.45E-04	5	30.1367	36.32553	20.07775	221.13845	0.025333	0	0.026	0	0.749	25.754115	1.674628	0.066207	0.0054
ERR599023	0.000522809	9.40E-05	2.77E-03	0.000338041	0.000644063	0.000681332	4.02E-04	1.05E-03	65	29.5333	35.346195	22.215305	207.9566	0	0.00875		0.08325	1.7355	24.424005	1.06475	0.121203	0.02
ERR599024	0.000363259	0.000239236	0.002276806	0.000323273	0.000481521	0.000886799	1.42E-02	2.73E-04	5	21.146	36.1376	23.88925	203.37975	0	0.006	0.0315	0.2975	0.558	24.5391	1.490169	0.091415	3.00E-04
ERR599025	0.000534466	0.000101873	0.002961711	0.00030562	0.000671774	0.00061567	4.58E-04	1.07E-03	65	29.5333	35.346195	22.215305	207.9566	0	0.00875		0.08325	1.7355	24.424005	1.06475	0.121203	0.02
ERR599026	0.000308584	5.86E-05	1.81E-03	0.000240568	0.000315285	0.000705957	2.65E-04	1.97E-03	66	17.2855	35.162694	25.113925	181.101938	0.820273	0.025376	0.063072	0	2.513803	23.430525	1.135	0.197343	0.016
ERR599027	0.000626356	0.004387546	0.029081244	0.005495127	0.001733936	1.828959083	2.37E-03	3.88E-04	40	47.2007	34.05055	7.154875	306.1555	18.047311	0.1185	18.525	1.356	2.661	26.649733	2.133364	0.507313	
ERR599028	0.000518971	0.000186873	0.001980275	0.000333547	0.000365417	0.000880766	1.86E-03	3.64E-02	17	20.8222	36.535819	25.329231	206.568833	1.457658	0.277	1.115	0.431	1.4395	24.403813	1.606875	0.24107	0.03175
ERR599029	0.001400905	0.000165147	0.002268515	0.000325605	0.00053497	0.000830762	1.46E-03	5.89E-02	5	9.8481	34.80515	27.1673	195.502875	0	0.00205	5.00E-04	0.0132	1.1195	22.518037	1.82175	0.094165	
ERR599030	0.000440065	6.70E-05	2.08E-03	0.000222042	0.000406574	0.000757555	3.47E-04	4.68E-04	5	6.3332	33.52041	26.605515	196.2029	0.803918	0.003	0.002	0.1575	1.1855	21.72899	1.444322	0.125361	0.0032
ERR599031	0.000463645	4.30E-05	8.69E-04	0.000172155	0.000129116	0.000358005	1.08E-04	1.80E-04	600	20.8457	35.672725	11.984006	2.81625	31.290804					27.130513	2.6925	0.008026	0
ERR599032	0.000784017	7.89E-05	1.93E-03	0.00026109	0.000313457	0.000724168	7.67E-04	8.85E-04	40	0.0222	35.146525	26.139288	177.673063	3.000673	0.2835	5.264	0.54925	2.7405	23.1032	1.708381	0.28262	0.0082
ERR599033	0.001023121	4.64E-05	1.25E-03	0.000240801	0.000231757	0.000427337	1.90E-04	1.80E-04	600	8.9729	34.5789	7.133995	40.6107	41.697487					27.07634	3.112808	0	
ERR599034	0.003508474	4.14E-05	1.07E-03	0.000199623	0.000154426	0.000506591	6.40E-05	5.84E-05	850	35.1889	34.630583	8.33035	199.726						26.947583	1.5575	0	
ERR599035	0.000720314	0.004938029	0.030218828	0.007205355	0.001585799	1.944030683	3.00E-03	4.47E-04	5	47.1863	34.05025	7.579417	303.147667	18.434187	0.146	18.005	1.302	1.945	26.589567	2.128396	0.426587	
ERR599036	0.00065304	0.000104003	0.002544435	0.000304752	0.00047043	0.000857417	8.68E-04	2.17E-03	5	9.1504	35.384031	26.572419	190.378187	4.965553	0.1665	6.2015	0.63025	2.53325	23.143631	1.628674	0.261381	0.01184
ERR599037	0.001165772	2.48E-05	1.33E-03	0.000240799	0.000133777	0.000404517	1.13E-04	1.50E-04	270	18.7341	35.907681	15.553795	3.12405	18.560166	2.074	21.22	2.64	38.62	26.565675	2.75675	0.007712	0
ERR599038	0.000693837	7.81E-05	2.09E-03	0.000275775	0.000360854	0.000789185	9.15E-04	1.00E-03	5	3.00E-04	35.129025	26.218438	180.67375	2.964091	0.2715	5.0815	0.53975	2.668	23.062688	1.682422	0.25349	0.0061
ERR599039	0.000682923	0.000100736	0.002408988	0.000317146	0.00035223	0.000784701	1.36E-03	1.49E-03	5	2.0133	35.012435	23.88816	191.91255	8.074076	0.31925	8.287	0.77275	3.8635	23.68419	1.970432	0.246175	0.0125
ERR599040	0.000447063	5.04E-05	9.17E-04	0.000130131	0.000180504	0.000363108	1.99E-04	1.13E-04	150	21.0292	36.61951	21.16596	200.32465	0.218613	0.047654	0	0.051522	0.712116	25.68731	1.931379	0.103558	0.00245
ERR599041	0.000213148	6.22E-05	1.30E-03	0.000203931	0.000248865	0.000531143	0.000260387	2.33E-04	5	23.36	39.7709	25.811708	188.341917	0.279747	0.01075	0	0.00875	0.8775	26.698217	1.11375	0.085486	0.00435
ERR599042	0.000354903	6.17E-05	1.76E-03	0.000206913	0.000480969	0.000746804	2.33E-04	1.16E-04	188	25.826	35.86191	20.2127	208.821	0					25.37245	1.795236	0.115489	
ERR599043	0.001082847	0.001085635	0.003382385	0.000516172	0.00060943	0.00129229	6.27E-01	2.52E-03	5	39.3888	38.185333	18.319192	217.809833		0.00425	0.03525	0.00525	1.0505	27.633617	1.465	0.104797	
ERR599044	0.006397545	0.000123859	0.00179264	0.000405123	0.000296377	0.000673853	1.18E-04	1.00E-04	800	20.4075	34.446963	4.188237	161.92525	36.675625	0.01	36.73	2.522	44.86	27.333325	3.251941	0	
ERR599045	0.000455299	6.55E-05	1.90E-03	0.000305257	0.000370792	0.000984755	3.35E-04	4.26E-04	5	0.0033	35.0481	30.59345	186.0215	1.826529					21.558975	0.915	0.058503	
